date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:44:48	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-f705a41dce2647c0;gz%22	https://work.yasirkareem.com/robots.txt		(from )
04:44:48	18310/18310	---M-Z	200	added ('OK')	text/html	etag:%224786-5c0a5621-3146261b1f218c2;gz%22	https://work.yasirkareem.com/beginn/	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/index.html	(from )
04:44:49	140936/140936	---MCZ	200	added ('OK')	text/css	etag:W/%2204aca1f4cd3ec3c05a75a879f3be75a3%22	https://stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/stackpath.bootstrapcdn.com/bootstrap/4.1.3/css/bootstrap.min.css	(from https://work.yasirkareem.com/beginn/)
04:44:49	51215/51215	---MCZ	200	added ('OK')	text/css	etag:W/%221cc6c92172d124fbd305ba3d8e263333%22	https://use.fontawesome.com/releases/v5.5.0/css/all.css	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/use.fontawesome.com/releases/v5.5.0/css/all.css	(from https://work.yasirkareem.com/beginn/)
04:44:50	5577/5577	---M-Z	200	added ('OK')	text/css	etag:%2215c9-5c0a562d-55d3ed187c7eb717;gz%22	https://work.yasirkareem.com/beginn/css/flaticon.css	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/css/flaticon.css	(from https://work.yasirkareem.com/beginn/)
04:44:50	3383/3383	---M-Z	200	added ('OK')	text/css	etag:%225eb03ed2-d37%22	https://cdnjs.cloudflare.com/ajax/libs/lity/2.3.1/lity.min.css	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/cdnjs.cloudflare.com/ajax/libs/lity/2.3.1/lity.min.css	(from https://work.yasirkareem.com/beginn/)
04:44:50	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-5c0a562d-7aec8e064a015d8c;gz%22	https://work.yasirkareem.com/beginn/css/owl.carousel.min.css	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/css/owl.carousel.min.css	(from https://work.yasirkareem.com/beginn/)
04:44:51	36009/36009	---M-Z	200	added ('OK')	text/css	etag:%228ca9-5c33bd92-18400046ddff8cd3;gz%22	https://work.yasirkareem.com/beginn/css/styles.css	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/css/styles.css	(from https://work.yasirkareem.com/beginn/)
04:44:51	3085/3085	---M--	200	added ('OK')	image/png	etag:%22c0d-5c0a5629-cc84086a3bb9ec47;;;%22	https://work.yasirkareem.com/beginn/img/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/favicons/apple-touch-icon.png	(from https://work.yasirkareem.com/beginn/)
04:44:52	1431/1431	---M--	200	added ('OK')	image/png	etag:%22597-5c0a562a-3110f62414ed9fa0;;;%22	https://work.yasirkareem.com/beginn/img/favicons/favicon-32x32.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/favicons/favicon-32x32.png	(from https://work.yasirkareem.com/beginn/)
